DatasetName,SightingKey,SpeciesCode,KingdomName,ClassName,FamilyName,SortOrder,ScientificName,Exotic,CommonName,NSWStatus,CommStatus,SensitivityClass,ProfileID,DateFirst,DateLast,NumberIndividuals,EstimateTypeCode,SourceCode,ObservationType,Status,ValidationFlags,LocationKey,Description,Latitude_GDA94,Longitude_GDA94,Zone,Easting,Northing,Accuracy,SightingNotes,LocationNotes,Column1
Wildlife Rehab Database,SPJGI5700046,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,10/12/2014 0:00,10/12/2014 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470282,"Morgan St, broken hill, NSW, 2880",-31.9507865,141.446888,54,542234,6464932,500,Encounter broad: Sick/Diseased/Parasites; Encounter narrow: Disease - Other,,
Wildlife Rehab Database,SPJGI5700047,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,10/12/2014 0:00,10/12/2014 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470282,"Morgan St, broken hill, NSW, 2880",-31.9507865,141.446888,54,542234,6464932,500,Encounter broad: Sick/Diseased/Parasites; Encounter narrow: Disease - Other,,
Wildlife Rehab Database,SPJGI5700829,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,26/12/2016 0:00,26/12/2016 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0469632,"Mildura Road, Broken Hill, NSW, 2880",-31.9884744,141.4298491,54,540607,6460761,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5701200,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,11/06/2017 0:00,11/06/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0468378,"Menindee/Sunset Strip, Broken Hill, Broken Hill, NSW, 2880",-32.1531914,141.9534009,54,589906,6442186,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5701202,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,24/05/2017 0:00,24/05/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0468379,"Menindee/Sunset Strip, Broken Hill, NSW, 2880",-32.1531914,141.9534009,54,589906,6442186,500,Encounter broad: Abandoned/Orphaned/Nestling; Encounter narrow: Abandoned/Orphaned,,
Wildlife Rehab Database,SPJGI5701244,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,29/01/2017 0:00,29/01/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0468536,"menindee Rd, Broken Hill, NSW, 2880",-32.1161074,141.8036228,54,575812,6446412,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705050,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,10/12/2014 0:00,10/12/2014 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470390,"lane st, Broken Hill, NSW, 2880",-31.9456276,141.47238,54,544645,6465494,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705390,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,26/07/2015 0:00,26/07/2015 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0472251,"Broken hill/wilcannia road, NSW, 2880",-31.739052,142.346009,54,627502,6487700,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705392,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,21/09/2015 0:00,21/09/2015 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0472251,"Broken hill/wilcannia road, NSW, 2880",-31.739052,142.346009,54,627502,6487700,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5705395,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,20/06/2017 0:00,20/06/2017 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0469896,"Broken Hill/South road, Broken Hill, NSW, 2880",-31.9698959,141.4530617,54,542808,6462811,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
